,종목코드,종목명,시간,종가,대비,시가,고가,저가,매도호가,매수호가,거래량,거래대금,예상체결가 구분 플래그,예상체결가,예상체결가 전일대비,예상체결수량
1,A000020,동화약품,1559,17950,150,17250,17950,16800,18000,17950,4045645,7010700,50,17950,150.0,148148
2,A000040,KR모터스,1547,1035,-20,1055,1055,1035,1040,1035,304830,31737,50,1035,-20.0,29836
3,A000050,경방,1530,13600,50,13700,13700,13550,13600,13550,15961,21680,50,13600,50.0,136
4,A000060,메리츠화재,1556,29600,-500,30050,30200,29350,29650,29600,209327,621758,50,29600,-500.0,5211
5,A000070,삼양홀딩스,1553,118500,-1500,121000,121500,115500,118500,118000,66319,781259,50,118500,-1500.0,3813
6,A000075,삼양홀딩스우,1540,70000,-1700,72300,72300,69800,70200,70000,1868,13098,50,70000,-1700.0,715
7,A000080,하이트진로,1559,33400,-300,33450,33950,33200,33400,33350,242441,810063,50,33400,-300.0,3930
8,A000087,하이트진로2우B,1549,21000,-150,21050,21100,20850,21000,20900,973,2034,50,21000,-150.0,68
9,A000100,유한양행,1559,62900,-800,63800,64000,62600,63000,62900,212707,1339698,50,62900,-800.0,5738
10,A000105,유한양행우,1544,59600,-400,59900,59900,59500,59700,59600,923,5503,50,59600,-400.0,30
11,A000120,CJ대한통운,1557,166500,-1000,167000,168000,165500,166500,166000,28332,470633,50,166500,-1000.0,2918
12,A000140,하이트진로홀딩스,1530,14250,100,14050,14250,14050,14250,14200,8535,12080,50,14250,100.0,189
13,A000145,하이트진로홀딩스,1530,17300,0,17350,17500,17250,17300,17250,395,686,50,17300,0.0,34
14,A000150,두산,1559,97000,-3500,100000,100500,96500,97100,97000,69034,675145,50,97000,-3500.0,1133
15,A000155,두산우,1530,68200,-1500,70300,70400,68200,68500,68200,1808,12455,50,68200,-1500.0,44
16,A000157,두산2우B,1542,120500,-3000,123000,125000,119000,120500,120000,2752,33350,50,120500,-3000.0,136
